id,theme,theme_bucket,proverb_translit,literal_en,commentary
19,Agriculture,agriculture,"KunabyS,la zo mhanela apa tyatsa gadhava bapa",He tcAo says a hunbi ts devoted to him is a donkey.,"Becaose, as soon ae the kunhi can do without hie help, he will have nothing to do with Mm."
20,Agriculture,agriculture,Sada pika sada bhika,"Perpetual crops, perpetual poverty.",However good the konbi's crops are he remainB poor because of bis habit of borrowing.
21,Agriculture,agriculture,Kalivara nabi feta va paiidbarivara nahi gbara,"No field on the hlack soil, no house on the white.",Black soil is of course best for cultivation.
22,Agriculture,agriculture,Dukajaiita terav mahma,A thirieenti month in famine time.,"A famine is kad enough but the thirteenth month prolongs the evil. As the year ia made up of lunar months this extra month is added every three years. It is named after the month it follows, as"
23,Agriculture,agriculture,Preta zhaiikuna thevave adhl peranisa zave,"Cover up the corpse, attend first to the sowing.",Everything must be left so that the sowing may be done exactly at the right time.
24,Agriculture,agriculture,Mardaci mera ani garatitse dara,"The field's border shows the man, the door shows the woman.",By the way these are kept one can tell the true man or the respectable woman. gmzedbyGOOgle
25,Animals,animals,Vajanatrse pani valananetsa zaila,The water of the water-courte wUl go in that very courte. 'As the twig is bent the tree inclines (English).,"Vihirinta khSre tara poharyanta kotbiina yella gode If there be lalt tcaier in, the well will it he tweet in the draw-bucket?"
26,Animals,animals,Asata tsangall aghadi hot! baravi pichadi,If the horge'g halter he good the heel-ropes Kill terve their purpoie. jf there be & good leader an enterprise will be successfiiL 217.,Asata maiizara afidha undira hoto dhuiida When the eat u blind the rat beoomeg bold.
27,Animals,animals,Aho riipam aho dhvaaih,"What a heautj/! What a sweet voice! The donkey sajrs to the camel, 'Wbat a beaaty you are;' the latter, not to le outdone, answers, ' Wliat a sweet voice you have.' A satire on mutual and undeserved compliments. 98 'ffi »ft' IPftW Aitse dUdha ki gayitse dudha Mother's milk or cow's milk.","Two similar matters about which there is little choice, both being good."
28,Animals,animals,Apale garaze gadbava raze,In time of need we call even a donkey King. 89.,
29,Animals,animals,ApaJe vasarii dusaryatse gajsa pyale tara pyale,"If our calf drink some one else's cow's milk, why then, of course, it drinks it.",
30,Animals,animals,Ugbada zhopa deta g&ya,He ojenii the gate and givet away the cota.,Liberal with- another's property.
31,Animals,animals,Unta budato 6eli thava vicarati,T'ife camel if droumiriff and the goat Oikt him ike depth tihe water.,The goat is only thinking whether she can cross or not. Self interest.
